procedure,joint,diagnosis_keywords,arthrex_product,technique_notes,patient_age_min,patient_age_max,activity_level,contraindications,implant_sizing,confidence_weight
ACL Reconstruction,Knee,"ligament tear, ACL tear, anterior cruciate, knee instability, pivot shift",TightRope RT,"Cortical fixation, minimal invasive, anatomic single-bundle",15,50,High,"Active infection, severe osteoporosis","Graft diameter 8-10mm based on patient size",1.0
PCL Reconstruction,Knee,"PCL tear, posterior cruciate, posterior instability, dashboard injury",SwiveLock,"Transtibial technique, anatomic tunnel placement",18,55,High,"Severe vascular injury requiring repair","Graft diameter 9-11mm",0.9
Rotator Cuff Repair,Shoulder,"rotator cuff tear, shoulder pain, supraspinatus tear, shoulder weakness, impingement",SutureBridge,"Transosseous-equivalent double row, knotless",30,70,Moderate,"Massive irreparable tear, severe glenohumeral arthritis","Anchor size 4.75-5.5mm based on bone quality",1.0
SLAP Repair,Shoulder,"labrum tear, SLAP lesion, shoulder popping, biceps anchor pain, overhead athlete",PushLock,"Knotless suture anchor, arthroscopic",15,45,High,"Severe glenohumeral arthritis, irreparable tear","Anchor diameter 2.9-3.5mm",0.85
Bankart Repair,Shoulder,"shoulder dislocation, anterior instability, labrum detachment, recurrent subluxation",PushLock,"Arthroscopic labral repair, anterior-inferior",15,40,High,"Severe glenoid bone loss >25%, engaging Hill-Sachs","Anchor diameter 2.9mm",0.9
Latarjet Procedure,Shoulder,"shoulder instability, glenoid bone loss, recurrent dislocation, failed Bankart",Arthrex Cannulated Screws,"Open coracoid transfer, bone augmentation",18,50,High,"Active infection, severe osteoarthritis","Screw diameter 3.5-4.5mm",0.85
Meniscus Repair,Knee,"meniscus tear, knee locking, medial knee pain, lateral knee pain, bucket handle",FasT-Fix 360,"All-inside meniscal repair, vertical mattress sutures",15,50,Moderate,"Complex degenerative tear, severe arthritis","Implant size based on meniscal thickness",0.95
Meniscectomy,Knee,"meniscus tear, knee pain, mechanical symptoms, flap tear, degenerative tear",Arthrex Shaver System,"Arthroscopic partial resection, minimal tissue removal",30,70,Moderate,"Repairable meniscal tear in young patient","N/A - resection procedure",0.8
Distal Biceps Repair,Elbow,"biceps tendon rupture, elbow weakness, distal biceps, popeye deformity",SwiveLock,"Endobutton fixation, single-incision anterior",20,60,High,"Complete avulsion >6 weeks in low-demand patient","Anchor size 4.75mm",0.95
Achilles Tendon Repair,Ankle,"Achilles tendon rupture, Achilles tear, heel cord rupture, calf weakness",SpeedBridge,"Primary repair, percutaneous or open technique",20,55,High,"Severe peripheral vascular disease, chronic rupture >3 months","Anchor size 5.5mm",0.9
Ankle Ligament Reconstruction,Ankle,"ankle instability, ATFL tear, CFL tear, chronic ankle sprain, ankle giving way",InternalBrace,"Ligament augmentation, arthroscopic or open Brostrom",18,50,Moderate,"Severe osteoarthritis, neuromuscular disorder","Anchor diameter 3.5mm",0.85
Shoulder Replacement (TSA),Shoulder,"severe arthritis, shoulder osteoarthritis, glenohumeral arthritis, bone-on-bone shoulder",Univers Revers Shoulder System,"Total shoulder arthroplasty, anatomic implant",55,80,Low,"Active infection, inadequate bone stock","Stemmed humeral component, glenoid component sizing with CT",0.9
Reverse Shoulder Replacement,Shoulder,"rotator cuff arthropathy, massive cuff tear with arthritis, pseudoparalysis, failed prior repair",Univers Revers Shoulder System,"Reverse total shoulder arthroplasty, medialized COR",60,85,Low,"Active infection, deltoid muscle paralysis","Glenosphere diameter 36-42mm",0.9
Hip Arthroscopy / FAI,Hip,"hip impingement, FAI, labral tear, hip pain in young athlete, cam lesion, pincer lesion",Arthrex Hip System,"Femoroacetabular impingement correction, labral repair",18,45,High,"Severe hip arthritis, insufficient joint space","Anchor diameter 2.9-3.5mm for labral repair",0.85
Patella Tendon Repair,Knee,"patellar tendon rupture, knee extensor mechanism failure, patella alta",SwiveLock,"Primary repair with augmentation, knotless anchor",20,55,Moderate,"Chronic rupture >6 weeks without repair","Anchor size 5.5mm",0.9
Osteochondral Allograft,Knee,"osteochondral defect, cartilage lesion, bone bruise, OCD, cartilage damage",Arthrex DeNovo NT,"Osteochondral allograft transplantation, press-fit",15,50,Moderate,"Severe malalignment, extensive multicompartmental arthritis","Plug diameter 15-35mm based on defect size",0.8
Medial Patellofemoral Ligament Repair,Knee,"patellar instability, lateral patellar dislocation, recurrent patella dislocation",PushLock,"MPFL reconstruction with gracilis graft",12,35,Moderate,"Trochlear dysplasia grade D without correction, severe malalignment","Anchor diameter 2.9mm",0.85
Wrist TFCC Repair,Wrist,"TFCC tear, wrist pain, ulnar wrist pain, wrist instability, distal radioulnar joint",PushLock,"Arthroscopic inside-out or all-inside repair",18,50,Moderate,"Severe radiocarpal arthritis","Anchor diameter 1.8-2.3mm",0.8
UCL Reconstruction (Tommy John),Elbow,"UCL tear, medial elbow instability, pitcher elbow, throwing athlete elbow",Arthrex Internal Brace,"Docking technique with InternalBrace augmentation",15,35,High,"Ulnar nerve palsy requiring transposition, severe elbow arthritis","Graft diameter 3-4mm",0.9
Acromioclavicular Joint Reconstruction,Shoulder,"AC joint separation, clavicle separation, shoulder separation, AC tear",TightRope,"Cortical button fixation, coracoclavicular ligament reconstruction",18,55,Moderate,"Severe glenohumeral arthritis, failed prior AC repair","TightRope button diameter based on clavicle bone quality",0.85
Hamstring Tenodesis / Repair,Hip / Knee,"hamstring tear, proximal hamstring avulsion, hamstring tendon rupture",SwiveLock,"Open or arthroscopic proximal repair, knotless anchor",20,55,Moderate,"Complete avulsion with severe retraction >3 months","Anchor size 5.5-7mm",0.8
Lateral Ankle Ligament Repair,Ankle,"peroneal tendon subluxation, peroneal tear, lateral ankle pain, peroneal instability",SwiveLock,"Peroneal groove deepening with tendon repair",18,50,Moderate,"Severe cavovarus deformity requiring correction","Anchor size 3.5-4.75mm",0.8
Elbow Lateral Epicondyle Repair,Elbow,"tennis elbow, lateral epicondylitis, ECRB tear, elbow pain with gripping, chronic tendinopathy",Arthrex PARS,"PARS technique, percutaneous release and repair",30,65,Moderate,"Active infection, complete tear requiring open repair","N/A - debridement procedure",0.75
Knee Osteotomy (HTO),Knee,"medial compartment arthritis, varus deformity, unicompartmental arthritis, knee malalignment",Arthrex TomoFix,"High tibial osteotomy, medial opening wedge",30,60,Moderate,"Severe tricompartmental arthritis, inflammatory arthropathy","Plate size based on tibial anatomy and correction angle",0.8
Biceps Tenodesis,Shoulder,"biceps tendinitis, SLAP II, biceps instability, shoulder pain with elbow flexion, long head biceps",SwiveLock,"Subpectoral or all-arthroscopic tenodesis, knotless",30,60,Moderate,"Severe glenohumeral arthritis","Anchor diameter 6-8mm based on biceps tendon diameter",0.85
